,PINCP,count_target,count_deidentified
0,-1,4247,1378
1,1,3007,1623
2,12,1180,603
3,13,1177,557
4,9,1164,616
5,3,1163,589
6,15,1159,551
7,6,1157,636
8,7,1157,556
9,10,1151,578
10,16,1151,518
11,17,1151,512
12,19,1151,296
13,18,1149,530
14,5,1148,545
15,4,1143,582
16,8,1125,627
17,11,1124,567
18,14,1114,530
19,2,405,225
20,0,30,4
