,PINCP,count_target,count_deidentified
0,-1,1010,1021
1,1,732,624
2,7,357,121
3,5,355,133
4,6,354,98
5,9,321,113
6,12,318,126
7,4,315,100
8,11,292,110
9,13,287,134
10,10,282,117
11,8,280,91
12,3,256,84
13,14,246,139
14,15,184,123
15,16,164,214
16,17,114,334
17,2,106,29
18,18,66,513
19,19,57,1775
20,0,7,4
