,AGEP,count_target,count_deidentified
0,17,419,380
1,3,393,425
2,15,387,348
3,0,345,313
4,13,344,317
5,9,334,279
6,1,331,343
7,19,326,323
8,12,319,357
9,6,291,278
10,14,290,299
11,18,285,304
12,7,283,241
13,8,282,338
14,2,276,299
15,11,270,240
16,16,258,267
17,4,238,225
18,10,237,227
19,5,195,200
