,PINCP_DECILE,count_target,count_deidentified
0,-1,4247,4199
1,9,3308,3283
2,0,3121,3341
3,2,2301,2329
4,8,2295,2201
5,3,2062,1980
6,4,2046,2035
7,7,2012,1982
8,5,1980,2017
9,1,1951,2055
10,6,1930,1831
