,NOC,count_target,count_deidentified
0,0,16052,16025
1,2,3661,3701
2,1,3128,2976
3,-1,1818,1916
4,3,1764,1831
5,4,517,492
6,5,221,238
7,6,51,38
8,7,29,30
9,9,12,6
