,RAC1P,count_target,count_deidentified
0,1,3009.0,2986
1,2,987.0,953
2,6,593.0,617
3,3,436.0,461
4,8,372.0,394
5,9,267.0,231
6,5,20.0,16
7,7,12.0,9
8,4,0.0,17
