,PINCP_DECILE,count_target,count_deidentified
0,-1,4247,4258
1,9,3308,3306
2,0,3121,3113
3,2,2301,2297
4,8,2295,2283
5,3,2062,2068
6,4,2046,2053
7,7,2012,2002
8,5,1980,1984
9,1,1951,1954
10,6,1930,1935
