,AGEP,count_target,count_deidentified
0,3,1716,1724
1,12,1630,1628
2,15,1550,1543
3,17,1531,1500
4,7,1511,1468
5,6,1488,1486
6,13,1419,1443
7,8,1402,1371
8,19,1381,1419
9,1,1381,1407
10,0,1353,1397
11,9,1344,1320
12,18,1295,1308
13,11,1263,1262
14,4,1240,1242
15,2,1225,1263
16,10,1192,1173
17,14,1132,1119
18,16,1118,1088
19,5,1082,1092
