,DENSITY,count_target,count_deidentified
0,0,3548.0,2164
1,13,963.0,951
2,10,855.0,822
3,7,737.0,992
4,1,0.0,47
5,2,0.0,57
6,3,0.0,83
7,4,0.0,114
8,5,0.0,208
9,6,0.0,305
10,8,0.0,67
11,9,0.0,82
12,11,0.0,29
13,12,0.0,82
