,WGTP,count_target,count_deidentified
0,0,497,555
1,18,424,453
2,19,360,423
3,16,332,314
4,17,319,324
5,11,261,234
6,14,245,193
7,13,234,200
8,5,232,201
9,15,228,240
10,12,220,205
11,3,211,198
12,4,211,191
13,10,202,199
14,9,195,199
15,6,184,156
16,8,176,166
17,7,109,122
18,2,99,102
19,1,3,27
