,RAC1P,count_target,count_deidentified
0,1,15094,15198.0
1,2,7161,7131.0
2,6,2211,2275.0
3,8,904,922.0
4,3,877,830.0
5,9,876,859.0
6,5,97,36.0
7,7,31,0.0
8,4,2,0.0
