,WGTP,count_target,count_deidentified
0,0,474,0.0
1,17,370,0.0
2,10,350,0.0
3,9,332,0.0
4,11,330,0.0
5,16,324,1315.0
6,3,321,0.0
7,5,305,3815.0
8,14,301,0.0
9,18,298,401.0
10,4,281,0.0
11,12,269,0.0
12,6,266,0.0
13,8,263,0.0
14,7,249,0.0
15,19,245,153.0
16,13,244,0.0
17,15,223,0.0
18,2,212,0.0
19,1,39,0.0
