,AGEP,count_target,count_deidentified
0,3,1716,1716
1,12,1630,1628
2,15,1550,1545
3,17,1531,1531
4,7,1511,1510
5,6,1488,1487
6,13,1419,1418
7,8,1402,1404
8,19,1381,1382
9,1,1381,1383
10,0,1353,1351
11,9,1344,1342
12,18,1295,1289
13,11,1263,1264
14,4,1240,1240
15,2,1225,1225
16,10,1192,1193
17,14,1132,1138
18,16,1118,1123
19,5,1082,1082
