,PINCP,count_target,count_deidentified
0,-1,4247,4248
1,1,3007,3011
2,12,1180,1179
3,13,1177,1179
4,9,1164,1171
5,3,1163,1161
6,15,1159,1156
7,6,1157,1155
8,7,1157,1162
9,10,1151,1149
10,16,1151,1156
11,17,1151,1162
12,19,1151,1146
13,18,1149,1135
14,5,1148,1153
15,4,1143,1141
16,8,1125,1119
17,11,1124,1124
18,14,1114,1114
19,2,405,402
20,0,30,29
