,WGTP,count_target,count_deidentified
0,0,1818,1924
1,9,1537,1427
2,5,1475,1423
3,3,1446,1441
4,6,1415,1339
5,17,1390,1310
6,16,1375,1315
7,14,1374,1386
8,12,1363,1382
9,2,1362,1493
10,13,1362,1329
11,18,1358,1380
12,10,1354,1418
13,19,1354,1381
14,8,1331,1228
15,15,1310,1324
16,11,1306,1272
17,4,1225,1196
18,7,1202,1113
19,1,896,1172
