,NPF,count_target,count_deidentified
0,-1,8043,8218
1,2,6625,6703
2,4,4317,4368
3,3,4213,4140
4,5,2300,2313
5,6,1000,907
6,7,346,265
7,8,235,207
8,9,75,58
9,10,41,41
10,12,36,19
11,11,22,14
