,AGEP,count_target,count_deidentified
0,3,1716,1739
1,12,1630,1595
2,15,1550,1623
3,17,1531,1588
4,7,1511,1540
5,6,1488,1453
6,13,1419,1459
7,8,1402,1375
8,19,1381,1323
9,1,1381,1360
10,0,1353,1290
11,9,1344,1331
12,18,1295,1259
13,11,1263,1204
14,4,1240,1334
15,2,1225,1288
16,10,1192,1143
17,14,1132,1166
18,16,1118,1111
19,5,1082,1072
