,RAC1P,count_target,count_deidentified
0,2,2473,2475.0
1,1,1288,1289.0
2,6,376,374.0
3,8,314,311.0
4,9,140,141.0
5,3,9,5.0
6,7,6,0.0
7,5,2,0.0
