,INDP_CAT,count_target,count_deidentified
0,-1,1963,1960.0
1,10,434,436.0
2,12,344,342.0
3,14,257,259.0
4,6,248,255.0
5,11,215,217.0
6,9,208,212.0
7,4,168,169.0
8,7,148,159.0
9,15,112,113.0
10,13,111,112.0
11,3,103,103.0
12,16,100,103.0
13,8,96,84.0
14,18,43,42.0
15,5,35,26.0
16,2,14,13.0
17,17,5,0.0
18,0,3,0.0
19,1,1,0.0
