,NPF,count_target,count_deidentified
0,-1,8043,8080
1,2,6625,6477
2,4,4317,4324
3,3,4213,4475
4,5,2300,2192
5,6,1000,952
6,7,346,334
7,8,235,221
8,9,75,82
9,10,41,49
10,12,36,39
11,11,22,28
