,EDU,count_target,count_deidentified
0,9,4719,4835
1,7,4597,4727
2,5,3910,3979
3,10,2864,2759
4,3,2842,2813
5,4,2310,2336
6,8,1318,1244
7,11,958,940
8,1,765,726
9,6,760,764
10,-1,759,746
11,12,753,755
12,2,698,629
