,Sub-Sample Size,Sub-Sample K-Marginal Score,Deidentified Data K-marginal score,Absolute Diff. From Deidentified Data K-marginal Score
0,1%,540,710,170
1,5%,750,710,40
2,10%,821,710,111
3,20%,878,710,168
4,30%,907,710,197
5,40%,924,710,214
6,50%,939,710,229
7,60%,949,710,239
8,70%,960,710,250
9,80%,969,710,259
10,90%,980,710,270
