,PINCP,count_target,count_deidentified
0,-1,818,238.0
1,1,652,298.0
2,5,262,126.0
3,15,258,149.0
4,6,252,159.0
5,9,252,142.0
6,16,244,124.0
7,14,242,136.0
8,17,238,136.0
9,12,231,138.0
10,10,224,119.0
11,7,218,125.0
12,13,210,111.0
13,11,206,106.0
14,8,204,121.0
15,3,197,96.0
16,4,189,76.0
17,18,183,133.0
18,19,124,34.0
19,2,73,50.0
20,0,2,0.0
