,PINCP,count_target,count_deidentified
0,-1,635,654
1,1,613,671
2,15,273,263
3,5,252,246
4,10,247,255
5,6,231,269
6,12,230,214
7,9,218,229
8,7,215,224
9,4,215,265
10,3,211,219
11,16,203,236
12,18,203,206
13,11,198,248
14,14,197,205
15,13,188,210
16,8,181,231
17,17,180,208
18,19,160,170
19,2,77,70
20,0,6,4
