,Sub-Sample Size,Sub-Sample K-Marginal Score,Deidentified Data K-marginal score,Absolute Diff. From Deidentified Data K-marginal Score
0,1%,556,801,245
1,5%,769,801,32
2,10%,842,801,41
3,20%,893,801,92
4,30%,915,801,114
5,40%,933,801,132
6,50%,945,801,144
7,60%,954,801,153
8,70%,964,801,163
9,80%,972,801,171
10,90%,982,801,181
