,INDP_CAT,count_target,count_deidentified
0,-1,10929,10955
1,10,2678,2346
2,11,1818,1856
3,12,1632,1679
4,14,1572,1904
5,6,1381,1291
6,16,1113,1052
7,4,964,702
8,9,957,973
9,15,821,654
10,3,774,926
11,7,657,565
12,13,423,567
13,8,414,479
14,0,392,427
15,5,225,209
16,1,157,221
17,18,152,223
18,17,101,151
19,2,93,71
