,PWGTP,count_target,count_deidentified
0,17,380,407
1,16,371,421
2,18,355,396
3,19,322,363
4,14,307,293
5,15,304,321
6,10,301,292
7,11,292,323
8,12,278,297
9,13,278,363
10,9,265,266
11,8,261,217
12,6,219,248
13,3,190,164
14,7,181,221
15,5,165,192
16,4,154,179
17,2,136,123
18,0,114,116
19,1,60,95
