,WGTP,count_target,count_deidentified
0,0,546.0,522
1,18,394.0,408
2,17,386.0,408
3,16,355.0,385
4,14,309.0,308
5,15,308.0,358
6,19,308.0,357
7,11,306.0,239
8,9,282.0,252
9,13,276.0,315
10,10,266.0,256
11,12,239.0,356
12,5,235.0,214
13,7,155.0,195
14,8,155.0,211
15,6,139.0,201
16,3,124.0,144
17,4,119.0,97
18,2,31.0,57
19,1,0.0,14
