,PUMA,count_target,count_deidentified
0,8,2496,1193
1,16,2298,1074
2,12,1978,889
3,5,1574,748
4,19,1570,774
5,2,1547,788
6,7,1374,546
7,13,1365,542
8,3,1326,603
9,18,1269,583
10,17,1250,562
11,4,1231,592
12,10,1185,584
13,15,1154,615
14,1,1051,462
15,9,1028,438
16,11,1002,402
17,14,963,426
18,6,855,481
19,0,737,321
