,PWGTP,count_target,count_deidentified
0,13,1473,698
1,6,1459,653
2,8,1430,677
3,5,1421,695
4,3,1416,702
5,16,1411,584
6,1,1395,687
7,12,1391,683
8,2,1387,591
9,19,1369,656
10,17,1360,623
11,18,1344,662
12,10,1343,594
13,11,1336,610
14,14,1321,598
15,0,1317,578
16,15,1303,571
17,7,1283,570
18,9,1280,635
19,4,1214,556
