,NPF,count_target,count_deidentified
0,-1,8043,8043
1,2,6625,6625
2,4,4317,4317
3,3,4213,4213
4,5,2300,2302
5,6,1000,999
6,7,346,345
7,8,235,235
8,9,75,75
9,10,41,41
10,12,36,36
11,11,22,23
