,PINCP,count_target,count_deidentified
0,-1,4247,4098
1,1,3007,3032
2,12,1180,1191
3,13,1177,1142
4,9,1164,1165
5,3,1163,1126
6,15,1159,1194
7,6,1157,1221
8,7,1157,1193
9,10,1151,1181
10,16,1151,1130
11,17,1151,1158
12,19,1151,953
13,18,1149,1159
14,5,1148,1177
15,4,1143,1153
16,8,1125,1102
17,11,1124,1219
18,14,1114,1155
19,2,405,464
20,0,30,40
